player_id,full_name,web_name
516,Ferran Torres,Torres
517,Fikayo Tomori,Tomori
518,Filip Benkovic,Benkovic
519,Filip Jørgensen,
520,Filip Krovinovic,Krovinovic
521,Filip Marschall,Marschall
522,Fin Stevens,Stevens
523,Finley Munroe,Munroe
524,Finley Stevens,Stevens
525,Fletcher Holman,Holman
526,Florian Lejeune,Lejeune
527,Florin Andone,Andone
528,Flynn Downes,Downes
529,Fodé Ballo Touré,Ballo-Touré
530,Folarin Balogun,Balogun
531,Francisco Casilla Cortés,Casilla
532,Francisco Evanilson de Lima Barbosa,
533,Francisco Femenía Far,Femenía
534,Francisco Jorge Tomás Oliveira,Chiquinho
535,Francisco Machado Mota de Castro Trincão,Trincão
536,Francisco Sierralta,Sierralta
537,Franco Umeh Chibueze,Umeh-Chibueze
538,Frank Onyeka,Onyeka
539,Frankie Maguire,Maguire
540,Fraser Forster,Forster
541,Fred Onyedinma,Onyedinma
542,Freddie Ladapo,
543,Freddie Simmonds,
544,Freddie Woodman,Woodman
545,Frederico Rodrigues de Paula Santos,Fred
546,Frederik Alves,Alves
547,Frédéric Guilbert,Guilbert
548,Fábio Ferreira Vieira,Fábio Vieira
549,Fábio Freitas Gouveia Carvalho,Carvalho
550,Fábio Silva,Fábio Silva
551,Gabriel Fernando de Jesus,Jesus
552,Gabriel Martinelli Silva,Martinelli
553,Gabriel Osho,Osho
554,Gabriel Słonina,Slonina
555,Gabriel dos Santos Magalhães,Gabriel
556,Gaetano Berardi,Berardi
557,Garang Kuol,Kuol
558,Gareth Bale,Bale
559,Gary Cahill,Cahill
560,Gavin Bazunu,Bazunu
561,Gavin Kilkenny,Kilkenny
562,Gedson Carvalho Fernandes,Fernandes
563,Genesis Antwi,
564,George Abbott,Abbott
565,George Baldock,Baldock
566,George Earthy,Earthy
567,George Edmundson,
568,George Hirst,
569,George Shelvey,G.Shelvey
570,George Wickens,Wickens
571,Georginio Rutter,Rutter
572,Georginio Wijnaldum,Wijnaldum
573,Gianluca Scamacca,Scamacca
574,Giovani Lo Celso,Lo Celso
575,Giovanni Reyna,Reyna
576,Giulian Biancone,Biancone
577,Glen Rea,Rea
578,Glenn Murray,Murray
579,Godwill Kukonki,
580,Gonzalo Montiel,G.Montiel
581,Gonçalo Manuel Ganchinho Guedes,Guedes
582,Grady Diangana,Diangana
583,Granit Xhaka,Xhaka
584,Grant Hanley,Hanley
585,Guglielmo Vicario,Vicario
586,Guido Rodríguez,
587,Gustavo Hamer,Hamer
588,Gustavo Henrique Furtado Scarpa,Scarpa
589,Gustavo Nunes Fernandes Gomes,
590,Gylfi Sigurdsson,Sigurdsson
591,Habeeb Ogunneye,Ogunneye
592,Hakim Ziyech,Ziyech
593,Hal Robson Kanu,Robson-Kanu
594,Halil Dervişoğlu,Dervişoğlu
595,Hamed Traorè,H.Traorè
596,Hamza Choudhury,Choudhury
597,Han Noah Massengo,Massengo
598,Hannes Delcroix,Delcroix
599,Hannibal Mejbri,Mejbri
600,Harrison Armstrong,
601,Harrison Ashby,Ashby
602,Harrison Reed,Reed
603,Harry Amass,Amass
604,Harry Arter,Arter
605,Harry Boyes,Boyes
606,Harry Clarke,
607,Harry Howell,
608,Harry Kane,Kane
609,Harry Lewis,Lewis
610,Harry Maguire,Maguire
611,Harry Souttar,Souttar
612,Harry Toffolo,Toffolo
613,Harry Tyrer,Tyrer
614,Harry Wilson,Harry Wilson
615,Harry Winks,Winks
616,Harvey Barnes,Barnes
617,Harvey Davies,H.Davies
618,Harvey Elliott,Elliott
619,Harvey Griffiths,Griffiths
620,Harvey Vale,Vale
621,Harvey White,White
622,Hassane Kamara,Kamara
623,Haydon Roberts,Roberts
624,Henri Lansbury,Lansbury
625,Henry Cartwright,
626,Hjalmar Ekdal,Ekdal
627,Hubert Graczyk,
628,Hugo Bueno López,Bueno
629,Hugo Lloris,Lloris
630,Hwang Hee chan,Hwang
631,Hwang Ui jo,Ui-jo
632,Hákon Valdimarsson,Valdimarsson
633,Héctor Bellerín,Bellerín
634,Hélder Wander Sousa de Azevedo e Costa,Costa
635,Ian Carlo Poveda Ocampo,Poveda-Ocampo
636,Ian Maatsen,Maatsen
637,Ibrahim Osman,
638,Ibrahim Sangaré,Sangaré
639,Ibrahima Diallo,Diallo
640,Ibrahima Konaté,Konaté
641,Idrissa Gueye,Gueye
642,Igor Julio dos Santos de Paulo,Igor
643,Igor Thiago Nascimento Rodrigues,
644,Iliman Ndiaye,Ndiaye
645,Ilkay Gündogan,Gündogan
646,Illan Meslier,Meslier
647,Illia Zabarnyi,Zabarnyi
648,Imari Samuels,Samuels
649,Imrân Louza,Louza
650,Indiana Vassilev,Vassilev
651,Ionuț Radu,Radu
652,Isaac Hayden,Hayden
653,Isaac Heath,
654,Isaac Price,Price
655,Isaac Success Ajayi,Success
656,Ishé Samuels Smith,Samuels-Smith
657,Islam Slimani,Slimani
658,Ismaila Coulibaly,Coulibaly
659,Ismaïla Sarr,
660,Ismeal Kabia,
661,Issa Diop,Diop
662,Issa Kaboré,Kaboré
663,Ivan Neves Abreu Cavaleiro,Cavaleiro
664,Ivan Perišić,Perišić
665,Ivan Toney,Toney
666,Ivo Grbic,Grbić
667,Iwan Morgan,
668,Jack Butland,Butland
669,Jack Clarke,
670,Jack Colback,Colback
671,Jack Cork,Cork
672,Jack Fletcher,
673,Jack Grealish,Grealish
674,Jack Grieves,Grieves
675,Jack Harrison,Harrison
676,Jack Henry Francis,
677,Jack Hinshelwood,Hinshelwood
678,Jack Jenkins,Jenkins
679,Jack Moorhouse,
680,Jack O'Connell,O'Connell
681,Jack Porter,
682,Jack Robinson,Jack Robinson
683,Jack Stacey,Stacey
684,Jack Stephens,Stephens
685,Jack Taylor,
686,Jack Walton,Walton
687,Jack Wells Morrison,Wells-Morrison
688,Jack Wilshere,Wilshere
689,Jackson Smith,Smith
