player_id,full_name,web_name,player_name,photo_url
446,Edouard Mendy,Mendy,E. Mendy,
448,Edward Nketiah,Nketiah,E. Nketiah,
450,Eldin Jakupovic,Jakupovic,Jakupovic,
451,Elia Caprile,Caprile,Caprile,
452,Elijah Adebayo,Adebayo,Adebayo,
454,Elkan Baggott,Baggott,Baggott,
457,Elliot Thorpe,Thorpe,Thorpe,
460,Emerson Leite de Souza Junior,Emerson Royal,Emerson Royal,
465,Emiliano Marcondes,Marcondes,Marcondes,
468,Emmanuel Dennis,Dennis,E. Dennis,
469,Enda Stevens,Stevens,E. Stevens,
473,Enock Mwepu,Mwepu,Mwepu,
477,Eric Bailly,Bailly,Bailly,
478,Eric Dier,Dier,Dier,
479,Eric Garcia,Garcia,Garcia,
481,Erik Lamela,Lamela,Lamela,
482,Erik Pieters,Pieters,Pieters,
485,Ethan Brierley,Brierley,E. Brierley,
486,Ethan Horvath,Horvath,Horvath,
489,Ethan Wady,Wady,Wady,
491,Euan Pollock,Pollock,E. Pollock,
493,Ezgjan Alioski,Alioski,Alioski,
496,Fabian Delph,Delph,Delph,
497,Fabian Mrozek,Mrozek,Mrozek,
499,Fabio Carvalho,Carvalho,F. Carvalho,
500,Fabio Henrique Tavares,Fabinho,Fabinho,
501,Fabián Balbuena,Balbuena,Balbuena,
502,Fabricio Agosto Ramírez,Fabri,Fabri,
504,Facundo Pellistri Rebollo,Pellistri,Pellistri,
505,Faustino Anjorin,Anjorin,Anjorin,
507,Federico Fernández,Fernández,Fernández,
508,Felipe Anderson Pereira Gomes,Felipe Anderson,Felipe Anderson,
509,Felipe Augusto de Almeida Monteiro,Felipe,Felipe,
511,Felix Nmecha,Nmecha,F. Nmecha,
512,Femi Seriki,Seriki,Seriki,
513,Ferdi Kadioglu,Kadioglu,Kadioglu,
514,Fernando Luiz Rosa,Fernandinho,Fernandinho,
515,Fernando Marçal,Marçal,Marçal,
516,Ferran Torres,Torres,Torres,
517,Fikayo Tomori,Tomori,Tomori,
518,Filip Benkovic,Benkovic,Benkovic,
520,Filip Krovinovic,Krovinovic,Krovinovic,
522,Fin Stevens,Stevens,F. Stevens,
523,Finley Munroe,Munroe,Munroe,
524,Finley Stevens,Stevens,F. Stevens,
525,Fletcher Holman,Holman,Holman,
526,Florian Lejeune,Lejeune,Lejeune,
527,Florin Andone,Andone,Andone,
528,Flynn Downes,Downes,Downes,
529,Fodé Ballo Touré,Ballo-Touré,Ballo-Touré,
530,Folarin Balogun,Balogun,Balogun,
531,Francisco Casilla Cortés,Casilla,Casilla,
533,Francisco Femenía Far,Femenía,Femenía,
534,Francisco Jorge Tomás Oliveira,Chiquinho,Chiquinho,
535,Francisco Machado Mota de Castro Trincão,Trincão,Trincão,
536,Francisco Sierralta,Sierralta,Sierralta,
537,Franco Umeh Chibueze,Umeh-Chibueze,Umeh-Chibueze,
539,Frankie Maguire,Maguire,F. Maguire,
541,Fred Onyedinma,Onyedinma,Onyedinma,
542,Freddie Ladapo,Ladapo,Ladapo,
545,Frederico Rodrigues de Paula Santos,Fred,Fred,
546,Frederik Alves,Alves,F. Alves,
547,Frédéric Guilbert,Guilbert,Guilbert,
553,Gabriel Osho,Osho,Osho,
556,Gaetano Berardi,Berardi,Berardi,
558,Gareth Bale,Bale,Bale,
559,Gary Cahill,Cahill,G. Cahill,
560,Gavin Bazunu,Bazunu,Bazunu,
561,Gavin Kilkenny,Kilkenny,Kilkenny,
562,Gedson Carvalho Fernandes,Fernandes,G. Fernandes,
563,Genesis Antwi,Antwi,Antwi,
564,George Abbott,Abbott,G. Abbott,
565,George Baldock,Baldock,Baldock,
567,George Edmundson,Edmundson,Edmundson,
569,George Shelvey,G.Shelvey,G.Shelvey,
570,George Wickens,Wickens,Wickens,
572,Georginio Wijnaldum,Wijnaldum,Wijnaldum,
573,Gianluca Scamacca,Scamacca,Scamacca,
574,Giovani Lo Celso,Lo Celso,Lo Celso,
575,Giovanni Reyna,Reyna,Reyna,
576,Giulian Biancone,Biancone,Biancone,
577,Glen Rea,Rea,Rea,
578,Glenn Murray,Murray,Murray,
580,Gonzalo Montiel,G.Montiel,G.Montiel,
582,Grady Diangana,Diangana,Diangana,
584,Grant Hanley,Hanley,Hanley,
588,Gustavo Henrique Furtado Scarpa,Scarpa,Scarpa,
590,Gylfi Sigurdsson,Sigurdsson,Sigurdsson,
591,Habeeb Ogunneye,Ogunneye,Ogunneye,
592,Hakim Ziyech,Ziyech,Ziyech,
593,Hal Robson Kanu,Robson-Kanu,Robson-Kanu,
594,Halil Dervişoğlu,Dervişoğlu,Dervişoğlu,
596,Hamza Choudhury,Choudhury,Choudhury,
597,Han Noah Massengo,Massengo,Massengo,
604,Harry Arter,Arter,Arter,
605,Harry Boyes,Boyes,Boyes,
606,Harry Clarke,Clarke,H. Clarke,
608,Harry Kane,Kane,Kane,
609,Harry Lewis,Lewis,H. Lewis,
611,Harry Souttar,Souttar,Souttar,
612,Harry Toffolo,Toffolo,Toffolo,
615,Harry Winks,Winks,Winks,
619,Harvey Griffiths,Griffiths,Griffiths,
620,Harvey Vale,Vale,Vale,
621,Harvey White,White,H. White,
