match_id,gw_id,player_id,team_id,position_id,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,transfers_in,transfers_out,now_cost,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,selected_by_percent
20252806,202524,1935,28,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,7473.0,12182.0,39.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
20252806,202524,1936,28,2,0,1,32,1,0.8,0,0,2.6,20.8,90,0,0,0,0,0,4.0,9,1057051.0,924586.0,46.0,0,0.01,0.19,0.18,0.06,1.0,10.0,2.0,1.0,11.0,3.1
20252806,202524,1937,28,2,0,0,18,1,13.1,0,0,2.7,6.4,90,0,0,0,0,0,7.0,5,72406.0,64437.0,45.0,1,0.01,0.23,0.22,0.06,1.0,1.0,7.0,1.0,2.0,0.3
20252806,202524,1938,28,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,611.0,826.0,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20252806,202524,1939,28,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,39413.0,60802.0,38.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
20252806,202524,1940,28,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,6811.0,4663.0,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
20252806,202524,994,28,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,1255.0,1156.0,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20252806,202524,1274,28,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,1038.0,15987.0,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
20252806,202524,1941,28,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,23261.0,30892.0,38.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
20252806,202524,1942,28,2,0,0,2,0,0.1,0,0,0.1,0.6,4,0,0,0,0,0,0.0,1,6334.0,6720.0,40.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1
20252806,202524,1943,28,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,47547.0,45334.0,39.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
20252806,202524,1944,28,2,1,2,37,1,24.6,0,0,6.4,29.8,90,0,0,0,0,0,10.0,11,551812.0,979204.0,38.0,0,0.16,0.19,0.03,0.06,1.0,6.0,4.0,0.0,6.0,3.0
20252806,202524,1945,28,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,3016.0,24982.0,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
20252806,202524,1537,28,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,90681.0,223640.0,49.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
20252806,202524,1946,28,3,1,3,42,1,13.6,0,1,7.6,35.8,79,0,0,0,0,0,27.0,14,8749.0,16579.0,53.0,0,0.14,0.49,0.35,0.06,1.0,2.0,3.0,0.0,5.0,0.1
20252806,202524,1947,28,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,462.0,4069.0,54.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
